State/Union Territory,01-04-2023,01-05-2023,01-06-2023,01-07-2023,01-08-2023,01-09-2023,01-10-2023,01-11-2023,01-12-2023,01-01-2024,01-02-2024,01-03-2024,01-04-2024,01-05-2024,01-06-2024,01-07-2024,01-08-2024,01-09-2024,01-10-2024,01-11-2024,01-12-2024,01-01-2025,01-02-2025,01-03-2025,01-04-2025,01-05-2025,01-06-2025,01-07-2025,01-08-2025
Jharkhand,-,-,-,-,-,-,-,-,-,-,-,-,1.00%,4.20%,-6.60%,8.30%,1.20%,-0.20%,0.80%,7.90%,14.60%,7.10%,13.70%,2.70%,10.10%,7.90%,15.20%,1.70%,7.50%
Odisha,-,-,-,-,-,-,-,-,-,-,-,-,20.00%,16.40%,15.40%,17.60%,10.40%,7.60%,8.10%,8.60%,11.90%,6.60%,2.90%,16.30%,3.30%,1.10%,1.90%,1.10%,3.20%
Chhattisgarh,-,-,-,-,-,-,-,-,-,-,-,-,16.80%,15.80%,4.30%,21.90%,-9.70%,2.30%,0.70%,0.10%,15.50%,5.40%,8.80%,24.90%,4.30%,2.40%,6.00%,-6.00%,9.90%
Madhya Pradesh,-,-,-,-,-,-,-,-,-,-,-,-,13.60%,1.30%,5.60%,10.40%,13.30%,2.30%,11.70%,3.80%,-0.10%,5.30%,14.40%,4.40%,11.30%,10.40%,9.40%,20.30%,10.00%
Gujarat,-,-,-,-,-,-,-,-,-,-,-,-,14.10%,16.60%,9.30%,12.60%,5.80%,1.50%,17.90%,12.20%,4.50%,10.10%,3.20%,7.10%,14.00%,4.50%,1.60%,5.20%,8.70%
Daman and Diu,-,-,-,-,-,-,-,-,-,-,-,-,666.70%,810.00%,-91.40%,-47.60%,-28.60%,-83.30%,-83.30%,0.00%,-100.00%,-63.60%,-68.40%,-79.30%,-65.20%,-100.00%,-100.00%,-81.80%,-60.00%
Dadra and Nagar Haveli,-,-,-,-,-,-,-,-,-,-,-,-,12.30%,15.90%,16.40%,-4.20%,-0.90%,-12.70%,-1.20%,4.60%,-0.60%,3.00%,8.70%,-14.70%,10.80%,-6.20%,4.20%,16.40%,13.20%
Maharashtra,-,-,-,-,-,-,-,-,-,-,-,-,13.10%,14.10%,10.50%,11.30%,13.60%,4.50%,13.40%,17.50%,9.70%,14.10%,13.10%,14.40%,10.90%,18.00%,5.30%,5.70%,9.80%
Karnataka,-,-,-,-,-,-,-,-,-,-,-,-,9.50%,17.60%,10.60%,13.10%,12.30%,6.50%,11.00%,15.10%,7.00%,7.60%,11.40%,5.30%,14.90%,21.50%,8.60%,9.10%,14.90%
Goa,-,-,-,-,-,-,-,-,-,-,-,-,23.60%,-0.80%,13.70%,12.60%,4.10%,4.40%,5.40%,11.20%,4.60%,18.60%,3.30%,20.50%,5.20%,13.00%,1.00%,-1.10%,2.80%
Lakshadweep,-,-,-,-,-,-,-,-,-,-,-,-,-57.10%,-38.90%,-96.40%,-50.20%,-44.50%,-13.80%,-13.40%,1119.50%,-53.80%,-4.30%,-55.00%,27.50%,286.80%,444.90%,36.70%,-52.10%,-66.00%
Kerala,-,-,-,-,-,-,-,-,-,-,-,-,9.00%,12.80%,-4.00%,4.60%,8.70%,6.70%,19.80%,9.80%,4.70%,7.30%,7.40%,8.80%,4.80%,23.90%,9.10%,8.90%,8.40%
Tamil Nadu,-,-,-,-,-,-,-,-,-,-,-,-,7.10%,9.00%,6.90%,4.40%,8.30%,4.70%,3.40%,7.50%,10.00%,19.70%,10.90%,8.10%,13.80%,28.30%,4.90%,9.10%,9.00%
Puducherry,-,-,-,-,-,-,-,-,-,-,-,-,12.20%,17.80%,15.40%,4.10%,1.00%,14.70%,19.30%,0.60%,-2.50%,1.70%,8.50%,13.40%,8.80%,15.00%,-1.00%,9.00%,-3.50%
Andaman and Nicobar Islands,-,-,-,-,-,-,-,-,-,-,-,-,-29.80%,20.60%,-13.90%,27.40%,28.60%,23.60%,-2.90%,3.50%,70.30%,26.00%,32.20%,59.40%,20.90%,44.70%,3.70%,31.40%,34.90%
Telangana,-,-,-,-,-,-,-,-,-,-,-,-,11.70%,12.90%,0.50%,2.60%,5.90%,0.20%,9.60%,4.40%,11.60%,11.50%,1.70%,0.60%,12.40%,6.70%,9.20%,10.70%,11.20%
Andhra Pradesh,-,-,-,-,-,-,-,-,-,-,-,-,11.70%,18.60%,4.50%,-7.20%,-3.00%,-2.70%,15.60%,-8.10%,-3.70%,4.60%,4.10%,-1.00%,-2.40%,-1.00%,-0.60%,13.60%,20.30%
Ladakh,-,-,-,-,-,-,-,-,-,-,-,-,2.80%,-41.30%,52.90%,66.50%,22.70%,24.80%,30.90%,6.60%,12.20%,38.60%,-45.90%,16.90%,3.00%,89.00%,25.70%,11.50%,6.90%
Other Territory,-,-,-,-,-,-,-,-,-,-,-,-,2.20%,3.30%,-9.10%,-2.30%,7.90%,8.10%,-37.30%,-22.20%,-13.60%,-0.50%,5.20%,12.60%,16.30%,2.20%,10.20%,-3.70%,0.30%
OIDAR,-,-,-,-,-,-,-,-,-,-,-,-,18.30%,30.50%,38.70%,13.70%,49.00%,33.40%,33.10%,28.60%,26.80%,20.10%,45.00%,32.40%,35.50%,32.40%,27.20%,30.80%,37.80%
