State/Union Territory,01-04-2023,01-05-2023,01-06-2023,01-07-2023,01-08-2023,01-09-2023,01-10-2023,01-11-2023,01-12-2023,01-01-2024,01-02-2024,01-03-2024,01-04-2024,01-05-2024,01-06-2024,01-07-2024,01-08-2024,01-09-2024,01-10-2024,01-11-2024,01-12-2024,01-01-2025,01-02-2025,01-03-2025,01-04-2025,01-05-2025,01-06-2025,01-07-2025,01-08-2025
Meghalaya,237.34,211.56,192.12,175.07,181.24,161.87,142.05,161.15,168.48,199.83,192.92,211.85,233.58,169.03,179.22,139.86,155.04,152.52,163.7,143.58,146.24,214.55,213.91,267.02,349.69,209.65,169.8,172.79,206.78
Assam,1448.52,1166.1,1156.73,1110.86,1096.1,1121.37,1247.55,1154.51,1162.42,1276.07,1202.64,1425.7,1708.31,1169.04,1289.71,1214.03,1244.74,1217.73,1342.94,1254.09,1278.76,1359.91,1331.26,1586.47,1979.76,1502.46,1272.48,1355.44,1403.44
West Bengal,6022.84,4775.21,4685.86,4760.19,4432.68,4627.98,4491.69,4588.18,4628.4,5063.64,4873.58,5060.19,6712.15,4963.5,4785.38,4794.12,4673.22,4745.2,5163.87,4844.57,4727.07,5375.5,5230,5412.87,7615.68,5870.73,5030.57,5471.02,5037.47
Jharkhand,3109.32,1991.92,2256.98,2276.65,2154.1,2075.29,2367.79,2157.63,2031.45,2457.17,2307.64,2613.19,3141.5,2076.23,2108.75,2465.72,2179.73,2071.85,2387.21,2327.33,2328.06,2630.8,2623.2,2682.71,3457.55,2240.84,2428.26,2506.56,2343.61
Odisha,4255.15,3621.72,3575.18,3491.47,3691.5,3509.15,3479.5,3493.31,3555.36,4101.57,4300.21,4306.18,5105.87,4215.75,4125.35,4104.97,4074.66,3776.28,3762.4,3793.35,3978.83,4372.53,4423.73,5009.22,5272.47,4263.74,4202.38,4148.73,4206.58
Chhattisgarh,2820.58,1875,2343.57,2161.07,2253.41,2088.04,2134.89,2285.65,1996.2,2303.21,2440.13,2464.39,3293.64,2171.22,2444.2,2633.67,2035.65,2135.68,2149.92,2288.61,2306.07,2428.11,2654.55,3076.85,3436.36,2223.66,2590.86,2474.75,2237.71
Madhya Pradesh,3613.29,2699.48,2747.77,2740.2,2477.14,2500.13,2716.44,3010.08,2770.79,3060.38,2950.91,3332.86,4105.3,2735.36,2900.84,3024.55,2807.13,2556.62,3035.23,3122.98,2766.98,3222.85,3374.57,3478.63,4568.84,3019.88,3173.63,3639.47,3086.7
Gujarat,11056.94,9125.38,9443.33,9156.29,9116.68,9431.77,9071.54,10122.91,9204.29,10271.56,10340.77,10802.28,12616.81,10636.7,10323.68,10309.17,9647.08,9577.94,10693.63,11358.51,9615.91,11312.85,10676.25,11567.66,14387.4,11113.07,10490.9,10840.39,10482.12
Daman and Diu,0.03,0.1,0.7,0.21,0.07,0.06,0.06,0.09,0.23,0.22,0.38,0.58,0.23,0.91,0.06,0.11,0.05,0.01,0.01,0.09,0,0.08,0.12,0.12,0.08,0,0,0.02,0.02
Dadra and Nagar Haveli,397.98,322.61,338.26,353.65,322.9,349.44,372.9,332.41,332.73,396.18,354.68,451.7,447.06,373.91,393.7,338.66,320.12,305.14,368.55,347.57,330.84,408.18,385.42,385.24,495.26,350.73,410.24,394.34,362.47
