Month/Year,01-04-2024,01-05-2024,01-06-2024,01-07-2024,01-08-2024,01-09-2024,01-10-2024,01-11-2024,01-12-2024,01-01-2025,01-02-2025,01-03-2025,01-04-2025,01-05-2025,01-06-2025,01-07-2025,01-04-2024,01-05-2024,01-06-2024,01-07-2024,01-08-2024,01-09-2024,01-10-2024,01-11-2024,01-12-2024,01-01-2025,01-02-2025,01-03-2025,01-04-2025,01-05-2025,01-06-2025,01-07-2025,01-04-2024,01-05-2024,01-06-2024,01-07-2024,01-08-2024,01-09-2024,01-10-2024,01-11-2024,01-12-2024,01-01-2025,01-02-2025,01-03-2025,01-04-2025,01-05-2025,01-06-2025,01-07-2025,01-04-2024,01-05-2024,01-06-2024,01-07-2024,01-08-2024,01-09-2024,01-10-2024,01-11-2024,01-12-2024,01-01-2025,01-02-2025,01-03-2025,01-04-2025,01-05-2025,01-06-2025,01-07-2025,01-04-2024,01-05-2024,01-06-2024,01-07-2024,01-08-2024,01-09-2024,01-10-2024,01-11-2024,01-12-2024,01-01-2025,01-02-2025,01-03-2025,01-04-2025,01-05-2025,01-06-2025,01-07-2025,01-04-2024,01-05-2024,01-06-2024,01-07-2024,01-08-2024,01-09-2024,01-10-2024,01-11-2024,01-12-2024,01-01-2025,01-02-2025,01-03-2025,01-04-2025,01-05-2025,01-06-2025,01-07-2025,01-04-2024,01-05-2024,01-06-2024,01-07-2024,01-08-2024,01-09-2024,01-10-2024,01-11-2024,01-12-2024,01-01-2025,01-02-2025,01-03-2025,01-04-2025,01-05-2025,01-06-2025,01-07-2025
BIHAR,49,54,50,55,40,46,16,41,60,48,27,29,44,24,43,38,2275,2375,1969,2973,2057,1992,1716,2008,2087,2307,1880,1890,1932,2025,2344,2217,3365,3180,2527,5182,2628,2196,2857,2561,2592,3026,2488,2335,2819,3002,3196,3425,2709,2337,1773,3187,1799,1040,2054,1750,972,2156,1729,1717,1850,2255,2452,2455,5852,3699,2697,4225,3252,1657,3044,3053,-6464,3389,2870,3005,3899,4262,4441,4455,9222,3763,1495,3075,2946,937,2356,2385,-40913,-692,-309,1772,4372,4587,5140,5040,23472,15408,10511,18697,12722,7868,12043,11798,-41666,10234,8685,10748,14916,16155,17616,17630
JHARKHAND,35,41,32,30,34,40,18,33,30,28,31,24,40,40,21,20,1611,2177,1599,2004,1798,1938,904,1265,1822,2149,1704,1677,1759,2073,1476,1345,2118,2460,1793,2420,2165,2082,1331,1202,2139,2422,2471,2300,2123,2247,1987,2223,1582,1617,1203,1774,1687,1458,1116,945,1588,1879,1884,1923,1801,1666,1593,1836,2999,3127,2057,3236,2680,2632,1911,2790,3001,3702,3562,3389,3179,3107,2943,3958,2739,2957,1876,2680,2647,2823,1580,46401,8251,4580,4482,4362,2694,3204,4076,4834,11084,12379,8560,12144,11011,10973,6860,52636,16831,14760,14134,13675,11596,12337,12096,14216
JAMMU AND KASHMIR,49,70,55,44,53,33,8,20,21,24,18,39,42,46,75,42,588,852,705,828,566,557,113,177,405,474,468,569,611,537,670,620,784,753,610,837,648,615,218,268,518,535,527,721,940,607,732,682,560,572,404,525,478,423,172,238,357,325,374,504,629,403,536,442,862,788,553,848,879,680,207,430,630,555,406,852,1196,724,917,716,759,942,246,1220,1211,753,240,578,416,763,355,1456,1434,1047,989,1161,3602,3977,2573,4302,3835,3061,958,1711,2347,2676,2148,4141,4852,3364,3919,3663
KERALA,26,15,24,14,9,11,9,3,10,14,20,18,21,23,13,13,2500,2840,3522,3500,2863,2394,1713,2295,2184,2511,2646,2551,2571,3243,3523,3304,4351,4020,3961,6864,4560,3701,2536,4071,3649,5034,5511,5607,4581,4408,6048,6765,1450,1182,1051,3296,1766,1460,1098,1437,1276,2158,2743,2491,1839,1713,2900,3120,1714,1011,1739,5002,2571,1766,1829,2398,1955,2869,3893,3033,2519,2433,4607,5027,-579,-4676,1213,5042,2726,784,1241,2057,83,2155,3383,1470,970,-2723,5457,5569,9462,4392,11510,23718,14495,10116,8426,12261,9157,14741,18196,15170,12501,9097,22548,23798
ASSAM,22,35,26,44,19,15,17,18,-5,17,12,16,23,15,24,24,965,1264,1128,1274,797,544,406,693,-803,793,672,895,1013,1217,1371,1247,982,1522,1364,1189,856,582,359,1077,-1097,1161,996,936,1434,1458,1413,1464,594,900,622,645,430,202,130,691,-548,716,482,578,928,946,802,872,1181,1466,924,987,794,-4974,-400,979,-811,1226,538,866,811,1395,1209,1400,1695,2014,869,1111,1078,-14043,-1399,1024,-1507,1400,1329,1074,-331,1701,1271,1906,5439,7201,4933,5250,3974,-17674,-887,4482,-4771,5313,4029,4365,3878,6732,6090,6913
TRIPURA,3,1,3,4,1,2,0,5,26,-2,2,3,1,2,1,1,48,9,16,47,26,38,21,26,69,18,31,36,53,34,40,44,69,52,24,86,60,57,42,94,61,40,58,64,118,92,59,103,83,25,10,58,47,23,31,55,49,36,39,26,93,72,47,56,155,47,9,60,77,61,64,96,153,74,50,55,152,103,82,107,159,-5,-68,86,142,121,13,128,161,81,98,79,139,98,213,126,517,129,-6,341,353,302,171,404,519,247,278,263,556,401,442,437
ARUNACHAL PRADESH,1,1,2,2,1,0,1,4,0,7,1,0,2,1,1,0,30,18,27,14,21,13,2,31,25,28,26,18,21,18,18,4,62,24,29,10,16,40,12,40,39,70,31,29,18,11,41,29,24,11,8,9,32,28,7,34,29,35,18,20,30,0,22,37,40,12,23,34,41,29,17,36,31,34,9,28,47,8,28,47,22,0,8,26,34,5,19,64,45,74,-42,-84,16,-13,7,28,179,66,97,95,145,115,58,209,169,248,43,11,134,25,117,145
MEGHALAYA,2,4,6,2,1,0,4,2,1,-1,0,0,0,3,3,0,73,76,61,105,45,70,78,-5,18,62,55,18,135,106,94,61,168,108,34,195,62,177,177,59,58,92,104,28,167,172,145,101,117,69,-65,167,32,76,111,29,61,78,89,31,139,103,89,69,87,84,-301,252,27,104,98,66,3,114,81,40,189,94,95,92,-31,68,-615,179,-54,-61,44,0,-247,-7,45,-57,45,36,80,84,416,409,-880,900,113,366,512,151,-106,338,374,60,675,514,506,407
MANIPUR,1,1,5,5,0,1,1,0,1,3,0,1,1,1,2,0,37,20,14,40,9,20,14,14,10,35,19,14,42,14,20,15,89,28,17,86,11,34,24,26,19,40,18,20,94,25,32,16,50,19,24,59,6,26,29,7,13,39,44,35,83,13,19,14,82,47,28,84,-5,41,30,-15,22,58,49,32,153,17,19,24,84,81,-16,76,-4,19,27,-11,43,8,68,26,130,-1,27,29,343,196,72,350,17,141,125,21,108,183,198,128,503,69,119,98
ANDAMAN AND NICOBAR ISLANDS,1,1,2,0,0,3,-1,1,0,0,1,0,0,0,1,1,37,7,22,21,14,24,16,36,8,33,29,24,23,20,17,19,80,-3,52,46,26,32,20,41,-13,63,53,21,16,10,46,40,15,-7,24,26,18,0,-2,38,-25,24,54,10,18,-3,28,36,43,16,27,62,25,14,30,58,-32,4,92,33,47,0,39,51,17,-42,136,15,78,3,80,100,-61,9,100,85,65,-65,75,1,193,-28,263,170,161,76,143,274,-123,133,329,173,169,-38,206,148
NAGALAND,1,4,0,0,0,0,-1,0,1,-1,-1,0,3,0,0,0,21,12,5,7,9,3,29,-4,1,9,5,-3,15,6,19,8,37,41,11,28,24,6,39,6,-7,1,20,13,57,30,43,20,43,12,15,0,2,-4,43,1,-16,3,30,17,57,32,52,12,66,16,26,25,8,-9,52,7,-30,4,29,24,94,45,108,41,5,-46,10,-9,18,-99,46,-17,-34,-1,26,18,23,9,68,-11,173,39,67,51,61,-103,208,-7,-85,15,109,69,249,122,290,70
MIZORAM,0,0,0,0,0,2,0,0,1,0,0,0,0,1,5,0,-3,1,1,5,12,5,5,11,7,2,7,4,2,-3,9,2,6,10,9,13,20,14,25,19,9,3,36,4,17,9,14,1,5,9,6,6,13,10,16,19,6,4,29,0,3,7,6,8,17,0,-1,17,8,37,28,20,6,4,38,7,18,-2,9,-4,2,0,-16,10,19,37,18,19,4,52,4,30,2,-22,8,-5,27,20,-1,51,72,105,92,88,33,65,114,45,42,-10,51,2
LADAKH,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,8,5,6,0,2,7,4,-2,2,3,0,1,10,11,6,2,20,17,2,9,-1,4,11,-3,0,4,0,1,10,9,1,6,23,4,-5,1,2,10,4,-3,-4,9,5,5,4,4,2,10,33,25,3,-8,32,19,-1,1,-5,6,-1,3,38,24,15,14,30,11,11,0,17,14,6,14,-3,15,-18,1,42,117,57,16,114,62,17,2,52,55,24,7,-10,37,-14,11,105,166,81,48
SUB TOTAL,9692,9617,7110,6203,4641,3982,1578,4382,5514,4972,5010,7610,9601,9880,10366,7343,241313,324669,308538,321456,255487,264562,97525,191901,262148,272625,273659,318534,293679,361579,438566,418406,248068,278999,289057,324054,258814,274952,141322,197772,257366,303198,315798,349011,316609,348599,448091,494539,134746,139804,138253,154206,127420,133671,71161,104422,136519,175192,177461,198347,185685,184408,247479,279840,221535,192382,197576,229474,197380,187461,115747,168761,200155,286639,283033,306226,309787,291604,392649,459147,225471,138730,132475,196863,167638,140472,98066,196943,134101,278240,272524,277935,316281,266399,367384,445085,1080825,1084201,1073009,1232256,1011380,1005100,525399,864181,995803,1320866,1327485,1457663,1431642,1462469,1904535,2104360
