Month-Year,01-05-2024,01-05-2024,01-05-2024,01-06-2024,01-06-2024,01-06-2024,01-07-2024,01-07-2024,01-07-2024,01-08-2024,01-08-2024,01-08-2024,01-09-2024,01-09-2024,01-09-2024,01-10-2024,01-10-2024,01-10-2024,01-11-2024,01-11-2024,01-11-2024,01-12-2024,01-12-2024,01-12-2024,01-01-2025,01-01-2025,01-01-2025,01-02-2025,01-02-2025,01-02-2025,01-03-2025,01-03-2025,01-03-2025,01-04-2025,01-04-2025,01-04-2025,01-05-2025,01-05-2025,01-05-2025,01-06-2025,01-06-2025,01-06-2025,01-07-2025,01-07-2025,01-07-2025,01-08-2025,01-08-2025,01-08-2025
State / UT,Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT)
Nagaland,0,126.6,126.6,0,110,110,0,78.1,78.1,0,82.4,82.4,0,65,65,0,105.5,105.5,0,127.5,127.5,0,83.1,83.1,0,63.4,63.4,0,60.9,60.9,0,63.7,63.7,0,63.5,63.5,0,62.7,62.7,0,61.4,61.4,0,155.1,155.1,0,124.1,124.1
Odisha,3.1,767.4,770.5,5.9,723.7,729.6,5.9,766.7,772.6,8.5,745.1,753.7,3.9,757.9,761.8,1.6,807.2,808.9,0,664,664,0,734.2,734.2,0.1,755.3,755.4,0,727.8,727.8,0.1,739,739.1,0.1,736.7,736.8,0.1,731.5,731.6,0.1,717.9,718,0,144.2,144.2,0,117.1,117.1
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2,776.9,791.1,5.6,734.8,740.4
Punjab,380.6,196,576.6,224.5,190.8,415.3,125.6,128.3,253.9,142.7,89.6,232.3,,,,122.5,112.4,234.9,165.2,83.9,249.1,167,105,272,106,88.9,194.9,106.4,87.6,194,108.1,90.5,198.6,107.5,89.8,197.3,106.7,89.1,195.8,104.1,86.9,191,0,0,0,0,0,0
Rajasthan,148.4,1517.8,1666.2,188.5,1541.7,1730.1,167.3,1711.4,1878.6,97.4,1839.8,1937.2,,,,178.1,2091.5,2269.6,163.2,1401.4,1564.7,228.4,1892.5,2120.9,196.5,1640,1836.6,199.7,1628.7,1828.4,198.9,1654.7,1853.6,198.1,1646.6,1844.7,197.2,1641.4,1838.6,193.7,1598.2,1791.9,134.7,130.5,265.1,158.3,133.9,292.3
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.5,2271.1,2374.6,127.5,2292.4,2420
Tamil Nadu,24263.9,8063.5,32327.4,24756,8125.5,32881.5,26690,8105,34795.1,25558.3,7990.6,33548.9,,,,26188.3,8857.6,35045.8,24387.4,7081.5,31468.9,26441.8,7638.8,34080.7,23132.2,7300.4,30432.6,23079.5,7263.8,30343.3,23173.7,7289.6,30463.3,23144.6,7278.5,30423.1,23107.6,7265.3,30372.9,22474.9,7071.5,29546.4,29809.5,9789.9,39599.4,28481.6,9809.7,38291.3
Telangana,8228.4,5922.8,14151.1,8374,5707.7,14081.7,8108.6,7548.5,15657.1,7803.5,5764.1,13567.5,,,,8931.2,6174.3,15105.4,8395,4929.8,13324.8,8100.2,5484.4,13584.5,7302.2,5487.2,12789.4,7222.1,5472.7,12694.8,7258.1,5483.7,12741.8,7241.4,5475.2,12716.6,7209.7,5467.8,12677.5,7036.9,5340.1,12377,8747.8,6285.1,15032.9,8725.1,5022.7,13747.8
Tripura,0,464.6,464.6,0,502.8,502.8,0,472.9,472.9,0,416.7,416.7,,,,0,499.2,499.2,0,454.7,454.7,0,465.7,465.7,0,434,434,0,427.2,427.2,0,432.8,432.8,0,430.9,430.9,0,429.3,429.3,0,415.2,415.2,0,456.8,456.8,0,422.2,422.2
Uttar Pradesh,588.1,1895,2483,563.9,2007.3,2571.2,684.9,1876.7,2561.6,661.2,1825.3,2486.5,,,,545,2053.9,2599,501.5,1552.6,2054,420.6,1780.3,2200.9,410.4,1895.3,2305.7,412.8,1855.4,2268.2,413.9,1874.6,2288.5,412.6,1868.5,2281.1,411.5,1865.1,2276.6,400.7,1801.6,2202.3,581.4,1932.1,2513.5,580.4,1942.4,2522.8
Uttarakhand,0,374.9,374.9,0,237.2,237.2,0,190.9,190.9,0,190.9,190.9,,,,0,192.3,192.3,0,126,126,0,101.6,101.6,0,108.8,108.8,0,107.1,107.1,0,108.9,108.9,0,108.6,108.6,0,107.9,107.9,0,104.4,104.4,0,160,160,0,105.5,105.5
West Bengal,4244.7,12447.5,16692.2,4133.4,11241.1,15374.5,4544.4,11991.7,16536.1,4639.4,10387.5,15026.9,,,,4712.3,11342.3,16054.6,4468.2,9653.1,14121.4,4059.5,10268.1,14327.6,3877,9876.3,13753.4,3847.6,9876.2,13723.8,3869.4,9901.7,13771.1,3864.3,9894.5,13758.8,3857.1,9881.3,13738.4,3751.8,9620.9,13372.7,4892.3,10920.3,15812.6,4947.5,10692.1,15639.6
